text,bin_toxicity,lang,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,pred_toxicity,pred_obscene,pred_insult,pred_identity_attack,pred_threat,pred_severe_toxicity,pred_bin_toxicity
"Kto tak pisze? Ja takiej opinie nie widzialem {USERNAME}: Tu masz przyczynę bezpośrednią idei znaleziska, komentarz sprzed godziny z hakiem: {URL}",0,pl,,,,,,,,0.08271197229623795,0.004663741681724787,0.002128414809703827,0.0009805808076635003,0.0006331456825137138,0.0002964501909445971,0
{USERNAME}: naj@@?ny to do domu a nie do teatru.,0,pl,,,,,,,,0.022322246804833412,0.0009541321196593344,0.0007867095409892499,0.0003753607452381402,0.0002064401633106172,0.0001224838342750445,0
"Ale czy to nie jest to czego chcą wykopki w znaleziskach o cenach i dostępności mieszkań? Tj, żeby kupowanie i posiadanie mieszkań na wynajem nie było dobrym biznesem, żeby w ogóle nie było biznesem? Takie prawo skutecznie zniechęca niektórych do inwestowania w zakup mieszkań na wynajem. To nie o to walczycie?",0,pl,,,,,,,,0.4601622223854065,0.04513891786336899,0.015477235428988934,0.007512728217989206,0.003528444329276681,0.0017476927023380995,0
"{USERNAME}: Dawaj numer do twojej starej, tej szmaciury zrogowaciałej lub twojej wyimaginowanej dziewczyny padalcu z selem.",1,pl,,,,,,,,0.02899659425020218,0.0017073454800993204,0.000939314893912524,0.0004668002075050026,0.0003665511030703783,0.00017001239757519215,0
Żydzi ostatnimi czasy usilnie dążą do kolejnego hmm...'całospalenia' .,1,pl,,,,,,,,0.022731110453605652,0.001324665965512395,0.0008119954727590084,0.0003947428776882589,0.0002955028903670609,0.00015145078941714019,0
"Kurwa kopajcie ich w dupę z progu z belki -999 fisowce yebane
#skoki",1,pl,,,,,,,,0.19743992388248444,0.009828649461269379,0.003820184152573347,0.0020889313891530037,0.0013363995822146535,0.0005529351765289903,0
{USERNAME}: Tak samo informował że go zamkną.,0,pl,,,,,,,,0.0024949936196208,0.00029220295255072415,0.00023332131968345493,0.00016620323003735393,0.00011520790576469153,0.00010072754957946017,0
"[pseudonym] wykopu to pierdolone parchy czy też ukraińskie, banderowskie kurwy? Odpowiedzcie proszę :)",1,pl,,,,,,,,0.011216448619961739,0.000649005698505789,0.000536105188075453,0.0002861616376321763,0.0002106684260070324,0.00011092086060671136,0
Banda zjebków,1,pl,,,,,,,,0.003735650796443224,0.0002779546193778515,0.00026008920394815505,0.00020805856911465526,9.420974674867466e-05,9.572431008564308e-05,0
"{USERNAME} 
{USERNAME} 
{USERNAME} 
{USERNAME} 
{USERNAME} 
{USERNAME} 
{USERNAME} 
{USERNAME} 
Życzę wam, żeby w wyniku jakiegoś rękoczynu, ktoś zastrzelił wam brata albo ojca. 
Bo przecież jak popchnisze kogoś to naruszasz jego wolność i wtedy on ma prawo strzelić ci w łeb. 
{USERNAME} no nie?",1,pl,,,,,,,,0.04850952699780464,0.002814709208905697,0.0013446977827697992,0.0005473900819197297,0.00044827585224993527,0.00020616872643586248,0
"nikogo nie namawiam, ale dlaczego nikt temu śmieciowi jeszcze mordy nie obił?",1,pl,,,,,,,,0.11311035603284836,0.0041761258617043495,0.002288732212036848,0.001369855715893209,0.0007298461277969182,0.00030648609390482306,0
"Mamo, tato, jak się zabija? Kupcie mi kija, dam Żydowi w ryja( ͡° ͜ʖ ͡°)

Żydzi do gazu najlepiej od razu ( ͡° ͜ʖ ͡°)",1,pl,,,,,,,,0.03581850975751877,0.0018595859874039888,0.0010388848604634404,0.0004265224561095238,0.0003302553668618202,0.00015922663442324847,0
"I kogoś to dziwi ksywka dla muslimów ""host fuckers"" skądś się wzięła 
a że prorok ich był pedofilem to oni też będą bo czemu by nie",1,pl,,,,,,,,0.9853553771972656,0.9370263814926147,0.6467944383621216,0.23630063235759735,0.014284861274063587,0.1386895775794983,1
"{USERNAME}: jeżeli nawet dostanie prace społeczne, to jest to wyrok i jest karany, bo prace społeczne to też kara.
Więc odpada mu sporo możliwości pracy, bo coraz więcej trzeba zaświadczenia o niekaralności 

A, że karany był to go nie dostanie ¯\(ツ)/¯",0,pl,,,,,,,,0.04837711527943611,0.002825213596224785,0.0014073008205741644,0.0006375341326929629,0.000520752277225256,0.00022033811546862125,0
"Drodzy dzielni bojownicy o ""wolne somdy"" jeśli myślicie że parlamentarnej opozycji chodzi o wolne sądy to najwyższy czas jebnąć się cegłą w łeb:
{URL}
 Taka to opozycja. Pierdolić farmazony dla publiki okej, ale jak trzeba się zebrać i coś zrobić to nie idzie.
A potem ból dupy.",1,pl,,,,,,,,0.36160990595817566,0.036045707762241364,0.011299623176455498,0.004905198700726032,0.0022571480367332697,0.0013511839788407087,0
"{USERNAME}: jest i on, naczelny stulejarz walący konia do pornoli i lizania dupy plejstejszyn",1,pl,,,,,,,,0.10700859129428864,0.006710658315569162,0.002739276736974716,0.0008219635928981006,0.0005392850143834949,0.0003006868646480143,0
"Atak rakietowy na terytorium Polski to kwestia dni. To już nie jest pytanie czy spadną u nas bomy tylko kiedy i czy w coś trafia. 
I nie będą strzelać ruscy tylko zrobią to Ukraińcy. 
Przejmą ruski sprzęt i wystrzelą w naszą stronę. Zrobią to po to aby NATO ruszyło dupę.
#ukraina #rosja #wojna",1,pl,,,,,,,,0.3813627064228058,0.0305637139827013,0.011144696734845638,0.0072967661544680595,0.003689755918458104,0.0016106871189549565,0
{USERNAME}: za chodzenie do lekarza jest chuj w dupe w więzieniu ( ͡° ͜ʖ ͡°),1,pl,,,,,,,,0.003773760050535202,0.00035082115209661424,0.00027462298749014735,0.00018366701260674745,0.0001250534987775609,9.910357766784728e-05,0
"No kto by pomyślał, ze ludzie nie chcą kupować ultra przetworzonych produktów, które udają zdrowe bo maja napis plant based albo vegan. Większość tych produktów napakowana jest w przetworzone oleje roślinne, soję, sztuczne smaki itp. Nadaje się to do kosza.",0,pl,,,,,,,,0.05743929743766785,0.003964824602007866,0.0017413723981007934,0.0007552008028142154,0.0004951721639372408,0.00025134754832834005,0
{USERNAME}: Tym komentarzem potwierdzasz tylko jakim kretynem jesteś.,1,pl,,,,,,,,0.0065878210589289665,0.00047507818089798093,0.00038405973464250565,0.0002015278732869774,0.0001511138107161969,9.82222190941684e-05,0
"{USERNAME}: Taka umowę sobie możesz sporządzić, ale który radca prawny Ci się pod tym podpisze?! Umowa taka nie ma absolutnie zastosowania prawnego.",0,pl,,,,,,,,0.13494323194026947,0.004243379924446344,0.0026909399311989546,0.0012474671239033341,0.0008004767587408423,0.0002909159811679274,0
"Przegrywy jebane, to my Polacy!
Słabe mentale, to my Polacy!
Stale bez medalu, to my Polacy! 
#tokio2020",1,pl,,,,,,,,0.20439568161964417,0.00296906684525311,0.0035209516063332558,0.002512747887521982,0.0016872126143425703,0.00037206351407803595,0
"Sorry, ale kacap to kacap.",0,pl,,,,,,,,0.0013151717139407992,0.0001940800721058622,0.00020283294725231826,0.00015246709517668933,0.00010053073492599651,9.774840145837516e-05,0
"

            {USERNAME}: To niepodobna jest!                			",0,pl,,,,,,,,0.01059515867382288,0.0005172988167032599,0.0005030605243518949,0.00023119719116948545,0.00017429386207368225,9.861854778137058e-05,0
{USERNAME}: Skrajne lewactwo i skrajne prawactwo to jedna banda.,0,pl,,,,,,,,0.0011705501237884164,0.0001995884522330016,0.00019831293320748955,0.00014695317076984793,0.00010212471534032375,9.973334817914292e-05,0
"pracownicy ""infolinii"". A może telematketerzy których ktoś miał dosyć?",0,pl,,,,,,,,0.012483230791985989,0.0007220029947347939,0.0005347415572032332,0.00029050937155261636,0.0001924950920511037,0.0001164934437838383,0
"


            Zanim wystartują to tamtych już dawno nie ma w zasięgu, zawsze to jakiś sposób żeby uniknąć konfrontacji ( ͡° ͜ʖ ͡°)                			


",0,pl,,,,,,,,0.033972445875406265,0.0019282950088381767,0.0010580472880974412,0.0005374984466470778,0.0004031341813970357,0.00018187412933912128,0
">w pracy mówią ze mam anielska cierpliwość ale #!$%@? na drodze jak widzę takie rzeczy to jakiś diabeł we mnie wstępuje

{USERNAME}: 

Widocznie tylko mając wokół siebie 2 tony blachy czujesz się bezpieczny i pewny siebie i próbujesz się odkuć za te wszystkie sytuacje kiedy było inaczej. W sumie popularne u polaków za kółkiem xD",0,pl,,,,,,,,0.037901926785707474,0.0024903148878365755,0.0011657326249405742,0.0004995650961063802,0.0004300673317629844,0.00019998486095573753,0
"{USERNAME}: Czy rząd dopłaca dystrybutorom z budżetu? np. za sprzedane pakiety CO2

Jak to wygląda z tym spot, jednego dnia w południe zużyjesz przez dwie godziny np. 10kW ale później już np. 0, drugiego dnia w południe 0 ale wieczorem 6kW, taki po prostu przykład, gdzie to się zapisuje, że tego i tego zużyłeś po tyle i tyle a następnego tyle i po takiej cenie, kto lub co to podlicza?",0,pl,,,,,,,,0.05908671393990517,0.0037312221247702837,0.001613217988051474,0.0006941357278265059,0.0005895355134271085,0.00025895939324982464,0
{USERNAME}: o niczym innym nie marzę niż jebanie pisowskich kurew,1,pl,,,,,,,,0.05186097323894501,0.003203378524631262,0.0016283682780340314,0.0007207304588519037,0.00043329966138117015,0.00021798313537146896,0
"{USERNAME}: 11 miesięczny, o ile nie chowany pod kloszem na sierotę, to normalnie wcina różne warzywka i owoce w kawałkach samodielnie z talerza. A gdy mój (teraz już) 13 miesięczniak widzi, to dostaje dosłownie małpiego rozumu i wciągałby je chyba bez limitu aż by pękł!",0,pl,,,,,,,,0.06778966635465622,0.0032976700458675623,0.0018415353260934353,0.0007917763432487845,0.0005730493576265872,0.00024172758276108652,0
"{USERNAME}: Nikt nie stworzy takiego raportu bo to nie mądre jest wspominać, że czarny może być rasistą. Co do pierwszego akapitu wg tego raportu {URL} osoby nie białe stanowiące ok 40% społeczeństwa składają się na 80% podejrzanych o morderstwo i stanowią 82% aresztowanych za rozboje, więc moim zdaniem działanie policji było prewencyjne. Na resztę akapitów nie mam czasu. Faktem jest, że rasizm występuje w obie strony i powinien być zwalczany bez względu na kolor skóry.",0,pl,,,,,,,,0.1040673553943634,0.010659262537956238,0.0032915116753429174,0.0015478205168619752,0.0009975197026506066,0.0005027222796343267,0
"{USERNAME}: Tak myślałem, wirujesz jak kot posmarowany masłem na grzbiecie.",0,pl,,,,,,,,0.02003726176917553,0.001084977062419057,0.0007069935090839863,0.00036342148086987436,0.0002623936452437192,0.00013367418432608247,0
Ale ta Pani ma racje - kaja [surname] jest odpadem XD,1,pl,,,,,,,,0.046781621873378754,0.0035043207462877035,0.0014329726109281182,0.0006308684824034572,0.0004587082366924733,0.00024308587308041751,0
"A czy zwolennicy takiego zakazu zdają sobie sprawę, że spowiadanie się nie jest obowiązkowe? Co więcej - jest całkowicie dobrowolne.",0,pl,,,,,,,,0.23822566866874695,0.009273308329284191,0.005495363846421242,0.002430566120892763,0.0009688138379715383,0.0004842932103201747,0
Mam nadzieję że #!$%@?  im bardziej niż Frog-owi. Stać ich na fury a nie stać ich na to by poszaleć na torach wyścigowych.,0,pl,,,,,,,,0.31294313073158264,0.016640935093164444,0.00650988332927227,0.002658020006492734,0.0018389838514849544,0.0007538953796029091,0
"

            {USERNAME}: Wow.. czyli wychodzi, że raczej tyle samo dziś kupi Polak co za [surname].                			",0,pl,,,,,,,,0.0027380133979022503,0.000347376917488873,0.0002619107544887811,0.0001725049369269982,0.00012147238157922402,0.00010607202420942485,0
{USERNAME}: ty smieciu z najnizszej polki spolecznej won stad szczochu,1,pl,,,,,,,,0.023639678955078125,0.0012272292515262961,0.0007741089793853462,0.00035063407267443836,0.0002808429708238691,0.00013381180178839713,0
"{USERNAME}: pod speluną [surname] na żoliborzu jest schron przeciwatomowy dla pisowców, to tam się oni spokojnie pomieszczą.",0,pl,,,,,,,,0.03438007831573486,0.0017385995015501976,0.001173296943306923,0.0005152620142325759,0.00032830212148837745,0.00016182777471840382,0
Typ do uśpienia,1,pl,,,,,,,,0.054658882319927216,0.0021273961756378412,0.00127806153614074,0.0006048393552191556,0.000384958868380636,0.00018986508075613528,0
{USERNAME}: tomasza [surname] jebać prądem?,1,pl,,,,,,,,0.0006830277270637453,0.00017900406965054572,0.00018354201165493578,0.0001415256119798869,0.00011794157762778923,0.00011724176147254184,0
{USERNAME} usunąć,1,pl,,,,,,,,0.0008767804247327149,0.00017159970593638718,0.00018052304221782833,0.00013983715325593948,0.00011256808647885919,0.00010430032125441357,0
